GCF_000005845.2_ASM584v2	GCF/000/005/845/GCF_000005845.2_ASM584v2	eco	GCF/000/005/845	Escherichia coli K-12 MG1655
GCA_000019385.1_ASM1938v1	GCA/000/019/385/GCA_000019385.1_ASM1938v1	ecl	GCA/000/019/385	Escherichia coli ATCC 8739
GCA_000017985.1_ASM1798v1	GCA/000/017/985/GCA_000017985.1_ASM1798v1	ebr	GCA/000/017/985	Escherichia coli B REL606
GCA_000023665.1_ASM2366v1	GCA/000/023/665/GCA_000023665.1_ASM2366v1	ebd	GCA/000/023/665	Escherichia coli BL21-Gold(DE3)pLysS AG
GCA_000147855.3_ASM14785v3	GCA/000/147/855/GCA_000147855.3_ASM14785v3	eko	GCA/000/147/855	Escherichia coli KO11FL
GCA_000258025.1_ASM25802v1	GCA/000/258/025/GCA_000258025.1_ASM25802v1	ekf	GCA/000/258/025	Escherichia coli KO11FL
GCA_000148365.1_ASM14836v1	GCA/000/148/365/GCA_000148365.1_ASM14836v1	eab	GCA/000/148/365	Escherichia coli ABU 83972
GCA_000023365.1_ASM2336v1	GCA/000/023/365/GCA_000023365.1_ASM2336v1	edh	GCA/000/023/365	Escherichia coli DH1
GCA_000270105.1_ASM27010v1	GCA/000/270/105/GCA_000270105.1_ASM27010v1	edj	GCA/000/270/105	Escherichia coli DH1
GCA_000025745.1_ASM2574v1	GCA/000/025/745/GCA_000025745.1_ASM2574v1	eih	GCA/000/025/745	Escherichia coli IHE3034
GCA_000214765.3_ASM21476v3	GCA/000/214/765/GCA_000214765.3_ASM21476v3	ena	GCA/000/214/765	Escherichia coli NA114 (UPEC)
GCA_000148605.1_ASM14860v1	GCA/000/148/605/GCA_000148605.1_ASM14860v1	elu	GCA/000/148/605	Escherichia coli UM146
GCA_000184185.1_ASM18418v1	GCA/000/184/185/GCA_000184185.1_ASM18418v1	elw	GCA/000/184/185	Escherichia coli W
GCA_000258145.1_ASM25814v1	GCA/000/258/145/GCA_000258145.1_ASM25814v1	ell	GCA/000/258/145	Escherichia coli W
GCA_000233895.1_ASM23389v1	GCA/000/233/895/GCA_000233895.1_ASM23389v1	elc	GCA/000/233/895	Escherichia coli clone D i14
GCA_000233875.1_ASM23387v1	GCA/000/233/875/GCA_000233875.1_ASM23387v1	eld	GCA/000/233/875	Escherichia coli clone D i2
GCA_000257275.1_ASM25727v1	GCA/000/257/275/GCA_000257275.1_ASM25727v1	elp	GCA/000/257/275	Escherichia coli P12b
GCA_000022665.2_ASM2266v1	GCA/000/022/665/GCA_000022665.2_ASM2266v1	ebl	GCA/000/022/665	Escherichia coli BL21(DE3)
GCA_000009565.2_ASM956v1	GCA/000/009/565/GCA_000009565.2_ASM956v1	ebe	GCA/000/009/565	Escherichia coli BL21(DE3)
GCA_000284495.1_ASM28449v1	GCA/000/284/495/GCA_000284495.1_ASM28449v1	elf	GCA/000/284/495	Escherichia coli LF82
GCA_000332755.1_ASM33275v1	GCA/000/332/755/GCA_000332755.1_ASM33275v1	ecoa	GCA/000/332/755	Escherichia coli APEC O78
GCA_000468515.1_ASM46851v1	GCA/000/468/515/GCA_000468515.1_ASM46851v1	ecol	GCA/000/468/515	Escherichia coli LY180
GCA_000493595.1_EcoPMV1	GCA/000/493/595/GCA_000493595.1_EcoPMV1	ecoi	GCA/000/493/595	Escherichia coli PMV-1
GCA_000493755.1_ASM49375v1	GCA/000/493/755/GCA_000493755.1_ASM49375v1	ecoj	GCA/000/493/755	Escherichia coli JJ1886
GCA_000285655.3_EC958.v1	GCA/000/285/655/GCA_000285655.3_EC958.v1	ecos	GCA/000/285/655	Escherichia coli O25b:K100:H4-ST131 EC958 (UPEC)
GCA_000026225.1_ASM2622v1	GCA/000/026/225/GCA_000026225.1_ASM2622v1	efe	GCA/000/026/225	Escherichia fergusonii
GCA_000512125.1_ASM51212v1	GCA/000/512/125/GCA_000512125.1_ASM51212v1	eal	GCA/000/512/125	Escherichia albertii
GCA_002900365.1_ASM290036v1	GCA/002/900/365/GCA_002900365.1_ASM290036v1	ema	GCA/002/900/365	Escherichia marmotae
GCF_000195995.1_ASM19599v1	GCF/000/195/995/GCF_000195995.1_ASM19599v1	sty	GCF/000/195/995	Salmonella enterica subsp. enterica serovar Typhi CT18
GCA_000007545.1_ASM754v1	GCA/000/007/545/GCA_000007545.1_ASM754v1	stt	GCA/000/007/545	Salmonella enterica subsp. enterica serovar Typhi Ty2
GCA_000245535.1_ASM24553v1	GCA/000/245/535/GCA_000245535.1_ASM24553v1	sex	GCA/000/245/535	Salmonella enterica subsp. enterica serovar Typhi P-stx-12
GCA_000385905.1_ASM38590v1	GCA/000/385/905/GCA_000385905.1_ASM38590v1	sent	GCA/000/385/905	Salmonella enterica subsp. enterica serovar Typhi Ty21a
GCF_000006945.2_ASM694v2	GCF/000/006/945/GCF_000006945.2_ASM694v2	stm	GCF/000/006/945	Salmonella enterica subsp. enterica serovar Typhimurium LT2
GCA_000022165.1_ASM2216v1	GCA/000/022/165/GCA_000022165.1_ASM2216v1	seo	GCA/000/022/165	Salmonella enterica subsp. enterica serovar Typhimurium 14028S
GCA_000027025.1_ASM2702v1	GCA/000/027/025/GCA_000027025.1_ASM2702v1	sev	GCA/000/027/025	Salmonella enterica subsp. enterica serovar Typhimurium D23580
GCA_000210855.2_ASM21085v2	GCA/000/210/855/GCA_000210855.2_ASM21085v2	sey	GCA/000/210/855	Salmonella enterica subsp. enterica serovar Typhimurium SL1344
GCA_000283735.1_ASM28373v1	GCA/000/283/735/GCA_000283735.1_ASM28373v1	sem	GCA/000/283/735	Salmonella enterica subsp. enterica serovar Typhimurium T000240
GCA_000213635.1_ASM21363v1	GCA/000/213/635/GCA_000213635.1_ASM21363v1	sej	GCA/000/213/635	Salmonella enterica subsp. enterica serovar Typhimurium UK-1
GCA_000188735.1_ASM18873v1	GCA/000/188/735/GCA_000188735.1_ASM18873v1	seb	GCA/000/188/735	Salmonella enterica subsp. enterica serovar Typhimurium ST4/74
GCA_000252875.1_ASM25287v1	GCA/000/252/875/GCA_000252875.1_ASM25287v1	sef	GCA/000/252/875	Salmonella enterica subsp. enterica serovar Typhimurium 798
GCA_000380325.1_ASM38032v1	GCA/000/380/325/GCA_000380325.1_ASM38032v1	setu	GCA/000/380/325	Salmonella enterica subsp. enterica serovar Typhimurium U288
GCA_000430145.3_ASM43014v3	GCA/000/430/145/GCA_000430145.3_ASM43014v3	setc	GCA/000/430/145	Salmonella enterica subsp. enterica serovar Typhimurium var. 5- CFSAN001921
GCA_000493535.2_DT2	GCA/000/493/535/GCA_000493535.2_DT2	senr	GCA/000/493/535	Salmonella enterica subsp. enterica serovar Typhimurium DT2
GCA_000493675.1_DT104	GCA/000/493/675/GCA_000493675.1_DT104	send	GCA/000/493/675	Salmonella enterica subsp. enterica serovar Typhimurium DT104
GCA_000636135.1_ASM63613v1	GCA/000/636/135/GCA_000636135.1_ASM63613v1	seni	GCA/000/636/135	Salmonella enterica subsp. enterica serovar Typhimurium 138736
GCA_000430165.1_ASM43016v1	GCA/000/430/165/GCA_000430165.1_ASM43016v1	seen	GCA/000/430/165	Salmonella enterica subsp. enterica serovar 4,[5],12:i:- str. 08-1736
GCA_000011885.1_ASM1188v1	GCA/000/011/885/GCA_000011885.1_ASM1188v1	spt	GCA/000/011/885	Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
GCA_000026565.1_ASM2656v1	GCA/000/026/565/GCA_000026565.1_ASM2656v1	sek	GCA/000/026/565	Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
GCA_000018705.1_ASM1870v1	GCA/000/018/705/GCA_000018705.1_ASM1870v1	spq	GCA/000/018/705	Salmonella enterica subsp. enterica serovar Paratyphi B
GCA_000018385.1_ASM1838v1	GCA/000/018/385/GCA_000018385.1_ASM1838v1	sei	GCA/000/018/385	Salmonella enterica subsp. enterica serovar Paratyphi C
GCA_000008105.1_ASM810v1	GCA/000/008/105/GCA_000008105.1_ASM810v1	sec	GCA/000/008/105	Salmonella enterica subsp. enterica serovar Choleraesuis
GCA_000020705.1_ASM2070v1	GCA/000/020/705/GCA_000020705.1_ASM2070v1	seh	GCA/000/020/705	Salmonella enterica subsp. enterica serovar Heidelberg SL476
GCA_000258365.1_ASM25836v1	GCA/000/258/365/GCA_000258365.1_ASM25836v1	shb	GCA/000/258/365	Salmonella enterica subsp. enterica serovar Heidelberg B182
GCA_000430085.2_ASM43008v2	GCA/000/430/085/GCA_000430085.2_ASM43008v2	senh	GCA/000/430/085	Salmonella enterica subsp. enterica serovar Heidelberg CFSAN002069
GCA_000430105.1_ASM43010v1	GCA/000/430/105/GCA_000430105.1_ASM43010v1	seeh	GCA/000/430/105	Salmonella enterica subsp. enterica serovar Heidelberg 41578
GCA_000016045.1_ASM1604v1	GCA/000/016/045/GCA_000016045.1_ASM1604v1	see	GCA/000/016/045	Salmonella enterica subsp. enterica serovar Newport SL254
GCA_000442415.1_ASM44241v1	GCA/000/442/415/GCA_000442415.1_ASM44241v1	senn	GCA/000/442/415	Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
GCA_000020745.1_ASM2074v1	GCA/000/020/745/GCA_000020745.1_ASM2074v1	sew	GCA/000/020/745	Salmonella enterica subsp. enterica serovar Schwarzengrund
GCA_000020885.1_ASM2088v1	GCA/000/020/885/GCA_000020885.1_ASM2088v1	sea	GCA/000/020/885	Salmonella enterica subsp. enterica serovar Agona SL483
GCA_000503845.1_ASM50384v1	GCA/000/503/845/GCA_000503845.1_ASM50384v1	sens	GCA/000/503/845	Salmonella enterica subsp. enterica serovar Agona 24249
GCA_000020925.1_ASM2092v1	GCA/000/020/925/GCA_000020925.1_ASM2092v1	sed	GCA/000/020/925	Salmonella enterica subsp. enterica serovar Dublin
GCA_000009525.1_ASM952v1	GCA/000/009/525/GCA_000009525.1_ASM952v1	seg	GCA/000/009/525	Salmonella enterica subsp. enterica serovar Gallinarum 287/91
GCA_000235545.1_ASM23554v1	GCA/000/235/545/GCA_000235545.1_ASM23554v1	sel	GCA/000/235/545	Salmonella enterica subsp. enterica serovar Gallinarum/pullorum RKS5078
GCA_000462995.1_ASM46299v1	GCA/000/462/995/GCA_000462995.1_ASM46299v1	sega	GCA/000/462/995	Salmonella enterica subsp. enterica serovar Gallinarum/pullorum CDC1983-67
GCA_000009505.1_ASM950v1	GCA/000/009/505/GCA_000009505.1_ASM950v1	set	GCA/000/009/505	Salmonella enterica subsp. enterica serovar Enteritidis P125109
GCA_000623755.2_ASM62375v2	GCA/000/623/755/GCA_000623755.2_ASM62375v2	sena	GCA/000/623/755	Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
GCA_000623775.2_ASM62377v2	GCA/000/623/775/GCA_000623775.2_ASM62377v2	seno	GCA/000/623/775	Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
GCA_000623795.2_ASM62379v2	GCA/000/623/795/GCA_000623795.2_ASM62379v2	senv	GCA/000/623/795	Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
GCA_000626155.2_ASM62615v2	GCA/000/626/155/GCA_000626155.2_ASM62615v2	senq	GCA/000/626/155	Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
GCA_000750475.1_ASM75047v1	GCA/000/750/475/GCA_000750475.1_ASM75047v1	senl	GCA/000/750/475	Salmonella enterica subsp. enterica serovar Enteritidis OLF-SE1-1019-1
GCA_000341425.1_ASM34142v1	GCA/000/341/425/GCA_000341425.1_ASM34142v1	senj	GCA/000/341/425	Salmonella enterica subsp. enterica serovar Javiana
GCA_000430125.1_ASM43012v1	GCA/000/430/125/GCA_000430125.1_ASM43012v1	seec	GCA/000/430/125	Salmonella enterica subsp. enterica serovar Cubana
GCA_000439415.1_ASM43941v1	GCA/000/439/415/GCA_000439415.1_ASM43941v1	seeb	GCA/000/439/415	Salmonella enterica subsp. enterica serovar Bareilly
GCA_000444445.1_ASM44444v1	GCA/000/444/445/GCA_000444445.1_ASM44444v1	seep	GCA/000/444/445	Salmonella enterica subsp. enterica serovar Pullorum
GCA_000499465.2_SB3114	GCA/000/499/465/GCA_000499465.2_SB3114	senb	GCA/000/499/465	Salmonella enterica subsp. enterica serovar Bovismorbificans
GCA_000473275.1_ASM47327v1	GCA/000/473/275/GCA_000473275.1_ASM47327v1	sene	GCA/000/473/275	Salmonella enterica subsp. enterica serovar Thompson
GCA_000486405.2_ASM48640v2	GCA/000/486/405/GCA_000486405.2_ASM48640v2	senc	GCA/000/486/405	Salmonella enterica subsp. enterica serovar Tennessee
GCA_000018625.1_ASM1862v1	GCA/000/018/625/GCA_000018625.1_ASM1862v1	ses	GCA/000/018/625	Salmonella enterica subsp. arizonae
GCA_000252995.1_ASM25299v1	GCA/000/252/995/GCA_000252995.1_ASM25299v1	sbg	GCA/000/252/995	Salmonella bongori NCTC 12419
GCA_000439255.1_ASM43925v1	GCA/000/439/255/GCA_000439255.1_ASM43925v1	sbz	GCA/000/439/255	Salmonella bongori N268-08
GCA_000709535.1_ASM70953v1	GCA/000/709/535/GCA_000709535.1_ASM70953v1	sbv	GCA/000/709/535	Salmonella bongori serovar 48:z41:--
GCF_000006925.2_ASM692v2	GCF/000/006/925/GCF_000006925.2_ASM692v2	sfl	GCF/000/006/925	Shigella flexneri 301 (serotype 2a)
GCA_000007405.1_ASM740v1	GCA/000/007/405/GCA_000007405.1_ASM740v1	sfx	GCA/000/007/405	Shigella flexneri 2457T (serotype 2a)
GCA_000013585.1_ASM1358v1	GCA/000/013/585/GCA_000013585.1_ASM1358v1	sfv	GCA/000/013/585	Shigella flexneri 8401 (serotype 5b)
GCA_000022245.1_ASM2224v1	GCA/000/022/245/GCA_000022245.1_ASM2224v1	sfe	GCA/000/022/245	Shigella flexneri 2002017 (serotype Fxv)
GCA_000743955.1_ASM74395v1	GCA/000/743/955/GCA_000743955.1_ASM74395v1	sfn	GCA/000/743/955	Shigella flexneri 2003036
GCA_000743995.1_ASM74399v1	GCA/000/743/995/GCA_000743995.1_ASM74399v1	sfs	GCA/000/743/995	Shigella flexneri Shi06HN006 (serotype Yv)
GCA_000953035.1_NCTC1	GCA/000/953/035/GCA_000953035.1_NCTC1	sft	GCA/000/953/035	Shigella flexneri NCTC1 (serotype 2a)
GCA_000092525.1_ASM9252v1	GCA/000/092/525/GCA_000092525.1_ASM9252v1	ssn	GCA/000/092/525	Shigella sonnei Ss046
GCA_000012025.1_ASM1202v1	GCA/000/012/025/GCA_000012025.1_ASM1202v1	sbo	GCA/000/012/025	Shigella boydii Sb227 (serotype 4)
GCA_000020185.1_ASM2018v1	GCA/000/020/185/GCA_000020185.1_ASM2018v1	sbc	GCA/000/020/185	Shigella boydii CDC 3083-94 (serotype 18)
GCF_000012005.1_ASM1200v1	GCF/000/012/005/GCF_000012005.1_ASM1200v1	sdy	GCF/000/012/005	Shigella dysenteriae Sd197
GCA_000497505.1_ASM49750v1	GCA/000/497/505/GCA_000497505.1_ASM49750v1	sdz	GCA/000/497/505	Shigella dysenteriae 1617 (serotype 1)
GCA_001596115.1_ASM159611v1	GCA/001/596/115/GCA_001596115.1_ASM159611v1	shq	GCA/001/596/115	Shigella sp. PAMC 28760
GCA_000016325.1_ASM1632v1	GCA/000/016/325/GCA_000016325.1_ASM1632v1	ent	GCA/000/016/325	Enterobacter sp. 638
GCF_000025565.1_ASM2556v1	GCF/000/025/565/GCF_000025565.1_ASM2556v1	enc	GCF/000/025/565	Enterobacter cloacae subsp. cloacae ATCC 13047
GCA_000286275.1_ASM28627v1	GCA/000/286/275/GCA_000286275.1_ASM28627v1	eno	GCA/000/286/275	Enterobacter cloacae subsp. cloacae ENHKU01
GCA_000210775.1_ASM21077v1	GCA/000/210/775/GCA_000210775.1_ASM21077v1	eclo	GCA/000/210/775	Enterobacter cloacae subsp. cloacae NCTC 9394
GCA_000239975.1_ASM23997v1	GCA/000/239/975/GCA_000239975.1_ASM23997v1	eec	GCA/000/239/975	Enterobacter cloacae EcWSU1
GCA_000235765.3_ASM23576v3	GCA/000/235/765/GCA_000235765.3_ASM23576v3	enl	GCA/000/235/765	Enterobacter cloacae subsp. dissolvens SDM
GCA_000770155.1_ASM77015v1	GCA/000/770/155/GCA_000770155.1_ASM77015v1	eclg	GCA/000/770/155	Enterobacter cloacae GGT036
GCA_000724505.1_ASM72450v1	GCA/000/724/505/GCA_000724505.1_ASM72450v1	ecle	GCA/000/724/505	Enterobacter cloacae ECNIH2
GCA_000784865.1_ASM78486v1	GCA/000/784/865/GCA_000784865.1_ASM78486v1	ecln	GCA/000/784/865	Enterobacter cloacae ECNIH4
GCA_000784905.1_ASM78490v1	GCA/000/784/905/GCA_000784905.1_ASM78490v1	ecli	GCA/000/784/905	Enterobacter cloacae ECNIH5
GCA_000814225.1_ASM81422v1	GCA/000/814/225/GCA_000814225.1_ASM81422v1	eclx	GCA/000/814/225	Enterobacter hormaechei subsp. xiangfangensis
GCA_000814125.3_ASM81412v3	GCA/000/814/125/GCA_000814125.3_ASM81412v3	ecly	GCA/000/814/125	Enterobacter hormaechei subsp. steigerwaltii
GCA_000814205.1_ASM81420v1	GCA/000/814/205/GCA_000814205.1_ASM81420v1	eclz	GCA/000/814/205	Enterobacter hormaechei subsp. hormaechei
GCA_001874505.1_ASM187450v1	GCA/001/874/505/GCA_001874505.1_ASM187450v1	ehm	GCA/001/874/505	Enterobacter hormaechei CAV1176
GCA_001729785.1_ASM172978v1	GCA/001/729/785/GCA_001729785.1_ASM172978v1	exf	GCA/001/729/785	Enterobacter hormaechei subsp. xiangfangensis
GCA_000750225.1_ASM75022v1	GCA/000/750/225/GCA_000750225.1_ASM75022v1	ecla	GCA/000/750/225	Enterobacter hormaechei subsp. hoffmannii ECNIH3
GCA_000750275.1_ASM75027v1	GCA/000/750/275/GCA_000750275.1_ASM75027v1	eclc	GCA/000/750/275	Enterobacter hormaechei subsp. hoffmannii ECR091
GCA_000224675.1_ASM22467v1	GCA/000/224/675/GCA_000224675.1_ASM22467v1	eas	GCA/000/224/675	Enterobacter asburiae LF7a
GCA_000632395.1_ASM63239v1	GCA/000/632/395/GCA_000632395.1_ASM63239v1	eau	GCA/000/632/395	Enterobacter asburiae L1
GCA_001729765.1_ASM172976v1	GCA/001/729/765/GCA_001729765.1_ASM172976v1	ekb	GCA/001/729/765	Enterobacter kobei
GCA_001750725.1_ASM175072v1	GCA/001/750/725/GCA_001750725.1_ASM175072v1	elg	GCA/001/750/725	Enterobacter ludwigii
GCA_002850575.1_ASM285057v1	GCA/002/850/575/GCA_002850575.1_ASM285057v1	ecan	GCA/002/850/575	Enterobacter cancerogenus
GCA_001729805.1_ASM172980v1	GCA/001/729/805/GCA_001729805.1_ASM172980v1	ern	GCA/001/729/805	Enterobacter roggenkampii
GCA_000807415.4_ASM80741v4	GCA/000/807/415/GCA_000807415.4_ASM80741v4	ecls	GCA/000/807/415	Enterobacter cloacae complex sp. 35734
GCA_000410515.1_ASM41051v1	GCA/000/410/515/GCA_000410515.1_ASM41051v1	enr	GCA/000/410/515	Enterobacter sp. R4-368
GCA_000801755.2_ASM80175v2	GCA/000/801/755/GCA_000801755.2_ASM80175v2	enx	GCA/000/801/755	Enterobacter sp. E20
GCA_001582075.1_ASM158207v1	GCA/001/582/075/GCA_001582075.1_ASM158207v1	enf	GCA/001/582/075	Enterobacter sp. FY-07
GCA_000017665.1_ASM1766v1	GCA/000/017/665/GCA_000017665.1_ASM1766v1	esa	GCA/000/017/665	Cronobacter sakazakii ATCC BAA-894
GCA_000263215.1_ASM26321v1	GCA/000/263/215/GCA_000263215.1_ASM26321v1	csk	GCA/000/263/215	Cronobacter sakazakii ES15
GCA_000339015.1_ASM33901v1	GCA/000/339/015/GCA_000339015.1_ASM33901v1	csz	GCA/000/339/015	Cronobacter sakazakii Sp291
GCA_000982825.1_ASM98282v1	GCA/000/982/825/GCA_000982825.1_ASM98282v1	csj	GCA/000/982/825	Cronobacter sakazakii ATCC 29544
GCA_001277255.1_ASM127725v1	GCA/001/277/255/GCA_001277255.1_ASM127725v1	ccon	GCA/001/277/255	Cronobacter condimenti
GCA_001277235.1_ASM127723v1	GCA/001/277/235/GCA_001277235.1_ASM127723v1	cdm	GCA/001/277/235	Cronobacter dublinensis
GCA_000504545.1_ASM50454v1	GCA/000/504/545/GCA_000504545.1_ASM50454v1	csi	GCA/000/504/545	Cronobacter malonaticus CMCC45402
GCA_001277215.2_ASM127721v2	GCA/001/277/215/GCA_001277215.2_ASM127721v2	cmj	GCA/001/277/215	Cronobacter malonaticus LMG 23826
GCA_001277175.1_ASM127717v1	GCA/001/277/175/GCA_001277175.1_ASM127717v1	cui	GCA/001/277/175	Cronobacter universalis
GCA_001277195.1_ASM127719v1	GCA/001/277/195/GCA_001277195.1_ASM127719v1	cmw	GCA/001/277/195	Cronobacter muytjensii
GCA_000027065.2_ASM2706v1	GCA/000/027/065/GCA_000027065.2_ASM2706v1	ctu	GCA/000/027/065	Cronobacter turicensis
GCA_000016305.1_ASM1630v1	GCA/000/016/305/GCA_000016305.1_ASM1630v1	kpn	GCA/000/016/305	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 (serotype K52)
